,id,title,release_date,tagline,overview,keywords,genres,runtime,budget,revenue,return,return_type,popularity,vote_average,vote_count,production_countries,original_language,spoken_languages,production_companies,Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie
15,15,The Chronicles of Narnia: Prince Caspian,2008-05-15,Hope has a new face.,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']","['Adventure', 'Family', 'Fantasy']",150.0,225.0,419.651,1.8651155555555556,success,53.978602,6.3,1630,"['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",en,['English'],"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,16,The Avengers,2012-04-25,Some assembly required.,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","['Science Fiction', 'Action', 'Adventure']",143.0,220.0,1519.558,6.907081818181818,massive success,144.448633,7.4,11776,['United States of America'],en,['English'],"['Paramount Pictures', 'Marvel Studios']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,Pirates of the Caribbean: On Stranger Tides,2011-05-14,Live Forever Or Die Trying.,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","['Adventure', 'Action', 'Fantasy']",136.0,380.0,1045.714,2.751878947368421,success,135.413856,6.4,4948,['United States of America'],en,"['English', 'Español']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,Men in Black 3,2012-05-23,They are back... in time.,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","['Action', 'Comedy', 'Science Fiction']",106.0,225.0,624.027,2.7734533333333333,success,52.035179,6.2,4160,['United States of America'],en,['English'],"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,19,The Hobbit: The Battle of the Five Armies,2014-12-10,Witness the defining chapter of the Middle-Earth saga,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']","['Action', 'Adventure', 'Fantasy']",144.0,250.0,956.02,3.82408,massive success,120.96574299999999,7.1,4760,"['New Zealand', 'United States of America']",en,['English'],"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,The Amazing Spider-Man,2012-06-27,The untold story begins.,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']","['Action', 'Adventure', 'Fantasy']",136.0,215.0,752.216,3.4986790697674417,massive success,89.866276,6.5,6586,['United States of America'],en,['English'],"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,Robin Hood,2010-05-12,"Rise and rise again, until lambs become lions.","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']","['Action', 'Adventure']",140.0,200.0,310.67,1.55335,success,37.668301,6.2,1398,"['United Kingdom', 'United States of America']",en,"['English', 'ภาษาไทย']","['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,The Hobbit: The Desolation of Smaug,2013-12-11,Beyond darkness... beyond desolation... lies the greatest danger of all.,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']","['Adventure', 'Fantasy']",161.0,250.0,958.4,3.8336,massive success,94.370564,7.6,4524,"['New Zealand', 'United States of America']",en,['English'],"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,The Golden Compass,2007-12-04,There are worlds beyond our own - the compass will show the way.,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","['Adventure', 'Fantasy']",113.0,180.0,372.235,2.067972222222222,success,42.990906,5.8,1303,"['United Kingdom', 'United States of America']",en,"['Íslenska', 'English', 'Pусский', 'Français']","['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,King Kong,2005-12-14,The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","['Adventure', 'Drama', 'Action']",187.0,207.0,550.0,2.657004830917874,success,61.226009999999995,6.6,2337,"['New Zealand', 'United States of America', 'Germany']",en,['English'],"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,Titanic,1997-11-18,Nothing on Earth could come between them.,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']","['Drama', 'Romance', 'Thriller']",194.0,200.0,1845.034,9.22517,massive success,100.025899,7.5,7562,['United States of America'],en,"['English', 'Français', 'Deutsch', 'svenska', 'Italiano', 'Pусский']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,26,Captain America: Civil War,2016-04-27,Divided We Fall,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Adventure', 'Action', 'Science Fiction']",147.0,250.0,1153.304,4.613216,massive success,198.37239499999998,7.1,7241,['United States of America'],en,"['Română', 'English', 'Deutsch', 'Pусский']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,Battleship,2012-04-11,The Battle for Earth Begins at Sea,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']","['Thriller', 'Action', 'Adventure', 'Science Fiction']",131.0,209.0,303.025,1.4498803827751194,success,64.928382,5.5,2114,['United States of America'],en,"['English', 'ภาษาไทย']","['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,Jurassic World,2015-06-09,The park is open.,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']","['Action', 'Adventure', 'Science Fiction', 'Thriller']",124.0,150.0,1513.529,10.090193333333334,massive success,418.708552,6.5,8662,['United States of America'],en,['English'],"['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,Skyfall,2012-10-25,Think on your sins.,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']","['Action', 'Adventure', 'Thriller']",143.0,200.0,1108.561,5.5428049999999995,massive success,93.004993,6.9,7604,"['United Kingdom', 'United States of America']",en,['English'],['Columbia Pictures'],1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,Spider-Man 2,2004-06-25,There's a hero in all of us.,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']","['Action', 'Adventure', 'Fantasy']",127.0,200.0,783.766,3.91883,massive success,35.149586,6.7,4321,['United States of America'],en,"['English', 'Pусский', '普通话']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,Iron Man 3,2013-04-18,Unleash the power behind the armor.,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']","['Action', 'Adventure', 'Science Fiction']",130.0,200.0,1215.44,6.0772,massive success,77.68208,6.8,8806,"['China', 'United States of America']",en,['English'],['Marvel Studios'],1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,Alice in Wonderland,2010-03-03,You're invited to a very important date.,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']","['Family', 'Fantasy', 'Adventure']",108.0,200.0,1025.491,5.127455,massive success,78.530105,6.4,4645,['United States of America'],en,['English'],"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
